grain_id,source_image,label,touches_border,centroid_x_um,centroid_y_um,area_um2,perimeter_um,equivalent_diameter_um,feret_max_um,feret_min_um,major_axis_um,minor_axis_um,inscribed_radius_um,aspect_ratio,elongation,circularity,solidity,convexity,orientation_deg,n_corners,min_corner_angle_deg,mean_corner_angle_deg,pixel_area,outline_px
1,B4C_15.tif,21,False,36.56414269712573,16.058264078927145,89.33487751440002,38.489822628613496,10.665115975712885,13.992219398912383,9.88532255689008,12.335143091149858,9.471491053073144,4.555577278137207,1.4154540044988002,0.29351289634162925,0.7577729368619637,0.950315836134609,0.8968771024812274,58.58771896752684,15,57.555296740788556,132.2138679846486,26024,594
2,B4C_15.tif,27,False,17.845424557298593,24.37367367455464,77.46429626460001,37.0065266028451,9.93129424139518,11.513792200912782,9.928196085059968,10.698818191341191,9.416753653332103,4.333843231201172,1.1597063658159243,0.13771276119844444,0.7108120716177955,0.9071541936271518,0.8628876966800769,88.73209169902509,14,33.01659651782641,115.69870463937784,22566,547
3,B4C_15.tif,13,False,17.530367316048668,6.852843341541137,71.09990712720001,34.28174350634363,9.514578991282194,11.666621111744394,8.654832152975361,11.337996672271636,8.145357602593648,3.8384172916412354,1.3479892972544407,0.25815434734030807,0.7602441640482128,0.952541741378106,0.8843437969506321,156.45915867469802,15,85.23635830927383,124.29695020665193,20712,517
4,B4C_15.tif,29,False,48.02715504297995,25.41269901146132,64.6943245326,49.38951610775122,9.075867579181425,15.519715752438897,8.49104328820583,15.570371824107944,6.277753245178578,3.0336902141571045,1.8277748947524486,0.452886675010689,0.33327789104128136,0.6934520455313874,0.7469267345227316,172.87004634860176,23,47.48955292199916,122.18630203994871,18846,772
5,B4C_15.tif,5,True,31.11231129357798,3.6018538451834865,59.86782446400001,33.10668816209591,8.730754925252914,10.721329653009462,8.48246985367424,10.14371809803761,8.138857317612779,4.0967583656311035,1.2639396116881505,0.20882296056504301,0.6863914488069331,0.9549294209180837,0.8883189625411998,45.81682788697361,14,69.55045238920742,128.42474794973927,17440,512
6,B4C_15.tif,26,False,26.15883510465536,23.471782681342475,57.073534950600006,40.542461352766075,8.524569294511505,15.601450990808514,7.078884938154923,13.919581640366795,6.164931642491061,2.7522761821746826,2.2039418816821392,0.5462675271469686,0.4363393832384508,0.7788541840654752,0.8547013656803893,54.76622405154029,23,57.763213447869774,131.85335328181978,16626,609
7,B4C_15.tif,10,False,10.093417228294241,4.999533698882476,55.906386996600006,33.780187133093456,8.436955773698166,14.103040186924238,6.068363608213305,12.776771202751656,5.757248197888363,3.1869325637817383,2.3240268872215064,0.5697123791904355,0.6156688605050601,0.9344075995104609,0.9051389495506673,144.07087942804995,15,42.962669303180085,136.64924838024598,16286,503
8,B4C_15.tif,15,False,54.08095660983322,14.011822656705315,55.3674392649,42.88332226310585,8.396190395816012,10.65710065113866,7.956911423158749,10.884672246659965,8.251935927180758,1.7904924154281616,1.3393514247401266,0.25336996584445404,0.3783445257135372,0.9419981375548757,0.9177038929342304,112.73737813220936,18,109.32812915110999,140.78929072019776,16129,477
9,B4C_15.tif,32,True,3.257988386905155,30.246419463401757,52.0101725031,28.937688184602727,8.137653737991334,10.74371908896077,7.20657,9.7536664561692,6.932685642192296,3.7913637161254883,1.4908228309668496,0.32922948372646954,0.7804956608808833,0.9555584016393442,0.9125122451903716,113.75425765073736,13,105.08635400846512,133.0632953986625,15151,456
10,B4C_15.tif,20,False,22.041398410194176,14.551240485436894,50.915113099200006,34.26826559186851,8.05153000507138,10.313504354321086,7.979958,9.627212116767383,7.42251801051007,3.194835662841797,1.292425894261735,0.22626124682280202,0.5448441954561806,0.8419228102611509,0.8110784868129258,-143.26643174852697,20,21.187434223190692,120.34274183963142,14832,518
