time_s,RF1_N,RF2_N,RF3_N,RM3_Nmm,F_normal_N,F_tangential_N,F_tangential_from_torque_N,F_magnitude_N
2.97000824e-08,2.05980741e-05,-3.38070618e-06,1.18379475e-08,-0.000105356346,-2.04464057e-05,4.20170524e-06,4.21425386e-06,2.08736669e-05
3.0612231e-08,2.19928879e-05,-3.59127421e-06,1.49266945e-08,-0.000112031368,-2.18316833e-05,4.46788252e-06,4.48125473e-06,2.22841781e-05
3.15244364e-08,2.38473895e-05,-3.83469478e-06,2.46921079e-08,-0.00011999339,-2.36749672e-05,4.78526866e-06,4.79973562e-06,2.41537467e-05
3.24366951e-08,2.44912299e-05,-3.84223722e-06,3.79413763e-08,-0.000120834266,-2.4317991e-05,4.81855182e-06,4.83337062e-06,2.47908162e-05
3.33033974e-08,2.24477335e-05,-3.44319437e-06,4.35978649e-08,-0.000108791501,-2.22920867e-05,4.3381101e-06,4.35166003e-06,2.2710311e-05
3.4215784e-08,2.13941275e-05,-3.22608844e-06,4.68099657e-08,-0.000102298218,-2.12480054e-05,4.07904483e-06,4.09192871e-06,2.1636047e-05
3.51281706e-08,2.00723098e-05,-2.98853911e-06,4.48577708e-08,-9.50222093e-05,-1.99367444e-05,3.7888269e-06,3.80088837e-06,2.02936196e-05
3.6040543e-08,1.86036596e-05,-2.7404617e-06,4.10686312e-08,-8.7334316e-05,-1.84791894e-05,3.48221758e-06,3.49337264e-06,1.88044666e-05
3.69074478e-08,1.95685916e-05,-3.11062013e-06,4.46033539e-08,-9.75602015e-05,-1.94285472e-05,3.89066691e-06,3.90240806e-06,1.98143313e-05
3.78201044e-08,2.22308154e-05,-3.5162243e-06,5.29058042e-08,-0.00011039299,-2.20724216e-05,4.4024072e-06,4.4157196e-06,2.25072385e-05
3.87327717e-08,2.48082979e-05,-3.91415733e-06,5.83365676e-08,-0.000122948026,-2.46319294e-05,4.90309374e-06,4.91792103e-06,2.51152479e-05
3.96454105e-08,2.70693981e-05,-4.50244852e-06,1.92813481e-08,-0.000139937809,-2.68676956e-05,5.58133425e-06,5.59751235e-06,2.74412961e-05
4.05122904e-08,2.93541671e-05,-4.84849943e-06,2.48393981e-08,-0.000150899577,-2.91367986e-05,6.01847474e-06,6.0359831e-06,2.97519022e-05
4.14245989e-08,3.174827e-05,-5.13819896e-06,4.33896936e-08,-0.000160564261,-3.15174016e-05,6.40368112e-06,6.42257044e-06,3.21613995e-05
4.23367048e-08,3.24304419e-05,-5.0777553e-06,6.59116708e-08,-0.000159745105,-3.2201445e-05,6.37056542e-06,6.38980418e-06,3.28256227e-05
4.32031335e-08,2.95830105e-05,-4.49283743e-06,7.5760525e-08,-0.000142243778,-2.93796816e-05,5.67224853e-06,5.68975112e-06,2.99223301e-05
4.41151329e-08,2.81374741e-05,-4.17946603e-06,7.8784538e-08,-0.000132948175,-2.79478331e-05,5.30132176e-06,5.31792699e-06,2.84462932e-05
4.50269546e-08,2.62196518e-05,-3.8296489e-06,7.84767877e-08,-0.000122263227,-2.60455337e-05,4.87509201e-06,4.89052909e-06,2.64979718e-05
4.59386911e-08,2.41329326e-05,-3.476855e-06,6.95137388e-08,-0.000111332753,-2.39745917e-05,4.43913379e-06,4.4533101e-06,2.43822023e-05
4.68053472e-08,2.45222327e-05,-3.89776369e-06,7.23716269e-08,-0.000122242447,-2.43467486e-05,4.87527365e-06,4.88969788e-06,2.48301771e-05
4.77183555e-08,2.77997387e-05,-4.3912305e-06,8.42031582e-08,-0.000137893236,-2.76018995e-05,5.49941103e-06,5.51572943e-06,2.8144546e-05
4.86311968e-08,3.09611532e-05,-4.87582429e-06,9.3818123e-08,-0.00015320447,-3.07414067e-05,6.11004005e-06,6.12817879e-06,3.13428696e-05
4.95438961e-08,3.33922326e-05,-5.62225841e-06,3.14687298e-08,-0.000174316636,-3.3140692e-05,6.95309435e-06,6.97266543e-06,3.386225e-05
5.04107547e-08,3.66196873e-05,-6.09983363e-06,4.01899172e-08,-0.000189519211,-3.63464672e-05,7.55935132e-06,7.58076843e-06,3.71242654e-05
