time_s,ALLIE_mJ,ALLKE_mJ,ALLAE_mJ,ALLSE_mJ,ALLPD_mJ,ALLDMD_mJ,ALLWK_mJ,ALLVD_mJ,ETOTAL_mJ
3.42019355e-08,2.79098478e-09,0.00873762928,8.34057989e-10,1.95692684e-09,0,0,1.54742594e-07,1.15230889e-11,0.00873762928
3.51045095e-08,2.78137602e-09,0.00873762928,9.30438671e-10,1.85093729e-09,0,0,1.62501252e-07,1.18342497e-11,0.00873762928
3.60005963e-08,2.73450795e-09,0.00873762928,1.01645015e-09,1.7180577e-09,0,0,1.69621842e-07,1.21682343e-11,0.00873762928
3.69031987e-08,2.71804668e-09,0.00873762928,1.03988818e-09,1.6781585e-09,0,0,1.7663443e-07,1.28294059e-11,0.00873762928
3.78057479e-08,2.80434764e-09,0.00873762928,9.61882685e-10,1.84246507e-09,0,0,1.84334482e-07,1.3611258e-11,0.00873762928
3.87017778e-08,2.97294678e-09,0.00873762928,9.00039543e-10,2.07290718e-09,0,0,1.92611481e-07,1.44943987e-11,0.00873762928
3.96043944e-08,3.23748495e-09,0.00873762928,9.00940822e-10,2.33654429e-09,0,0,2.01686689e-07,1.55968589e-11,0.00873762928
4.05005025e-08,3.80018372e-09,0.00873762928,9.96250527e-10,2.80393286e-09,0,0,2.11863195e-07,1.70017455e-11,0.00873762928
4.14030694e-08,4.35728964e-09,0.00873762928,1.10268294e-09,3.25460681e-09,0,0,2.22926104e-07,1.81606032e-11,0.00873762928
4.23054374e-08,4.63996663e-09,0.00873762928,1.18813526e-09,3.45183149e-09,0,0,2.34311074e-07,1.88314069e-11,0.00873762928
4.32010765e-08,4.72971573e-09,0.00873762928,1.31723787e-09,3.41247808e-09,0,0,2.45359871e-07,1.92948921e-11,0.00873762928
4.41030821e-08,4.73130735e-09,0.00873762928,1.45945356e-09,3.27185368e-09,0,0,2.55987828e-07,1.9812197e-11,0.00873762928
4.50049704e-08,4.67600136e-09,0.00873762928,1.60698643e-09,3.06901504e-09,0,0,2.65896631e-07,2.03758763e-11,0.00873762928
4.59002294e-08,4.56322891e-09,0.00873762928,1.74745074e-09,2.81577806e-09,0,0,2.74913049e-07,2.09605805e-11,0.00873762928
4.68024268e-08,4.45726878e-09,0.00873762928,1.78249582e-09,2.67477285e-09,0,0,2.83652497e-07,2.18973624e-11,0.00873762928
4.77052708e-08,4.53404914e-09,0.00873762928,1.64039216e-09,2.89365687e-09,0,0,2.9331224e-07,2.30681255e-11,0.00873762928
4.86015601e-08,4.74396966e-09,0.00873763021,1.51692903e-09,3.22704063e-09,0,0,3.03633044e-07,2.43585412e-11,0.00873762928
4.95043757e-08,5.10739362e-09,0.00873762928,1.49851376e-09,3.60888008e-09,0,0,3.14869425e-07,2.59391848e-11,0.00873762928
5.04005868e-08,5.8889702e-09,0.00873762928,1.6232401e-09,4.26572999e-09,0,0,3.27566113e-07,2.79973614e-11,0.00873762928
5.13031893e-08,6.71152023e-09,0.00873762928,1.77369541e-09,4.93782482e-09,0,0,3.41333362e-07,2.97879811e-11,0.00873762928
5.22056354e-08,7.15418347e-09,0.00873762928,1.90083616e-09,5.25334753e-09,0,0,3.55447668e-07,3.09692237e-11,0.00873762928
